"source","Time","Var","Value","EPU"
"ROMS",1990,"extent_index",11.1911764705883,"MAB"
"ROMS",1990,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1991,"cold_pool_index",0.357044360437425,"MAB"
"ROMS",1991,"se_cold_pool_index",0.0399908205819728,"MAB"
"ROMS",1991,"persistence_index",-0.34209164320887,"MAB"
"ROMS",1991,"se_persistence_index",0.0229379163332377,"MAB"
"ROMS",1991,"extent_index",11.1911764705883,"MAB"
"ROMS",1991,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1992,"cold_pool_index",-0.114943822362306,"MAB"
"ROMS",1992,"se_cold_pool_index",0.027357760183864,"MAB"
"ROMS",1992,"persistence_index",-0.204868521928423,"MAB"
"ROMS",1992,"se_persistence_index",0.0197216062383705,"MAB"
"ROMS",1992,"extent_index",80.1911764705883,"MAB"
"ROMS",1992,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1993,"cold_pool_index",-0.561782849217271,"MAB"
"GLORYS",1993,"se_cold_pool_index",0.0203963382128071,"MAB"
"GLORYS",1993,"persistence_index",0.690125509502159,"MAB"
"GLORYS",1993,"se_persistence_index",0.0241608384101352,"MAB"
"GLORYS",1993,"extent_index",78.1911764705883,"MAB"
"GLORYS",1993,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1994,"cold_pool_index",-0.212746523899053,"MAB"
"GLORYS",1994,"se_cold_pool_index",0.0383026460804183,"MAB"
"GLORYS",1994,"persistence_index",0.245423244985506,"MAB"
"GLORYS",1994,"se_persistence_index",0.0332936846974191,"MAB"
"GLORYS",1994,"extent_index",52.1911764705883,"MAB"
"GLORYS",1994,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1995,"cold_pool_index",0.468140047640996,"MAB"
"GLORYS",1995,"se_cold_pool_index",0.0359086305669866,"MAB"
"GLORYS",1995,"persistence_index",-0.0243906195300992,"MAB"
"GLORYS",1995,"se_persistence_index",0.021542482273378,"MAB"
"GLORYS",1995,"extent_index",47.1911764705883,"MAB"
"GLORYS",1995,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1996,"cold_pool_index",-1.10036864953512,"MAB"
"GLORYS",1996,"se_cold_pool_index",0.0331185360863464,"MAB"
"GLORYS",1996,"persistence_index",1.00464163853442,"MAB"
"GLORYS",1996,"se_persistence_index",0.0170112738866695,"MAB"
"GLORYS",1996,"extent_index",92.1911764705883,"MAB"
